invoice_id,vendor_id,vendor_name,invoice_date,due_date,currency,subtotal,tax_amount,total_amount,po_number,cost_center,description,invoice_status
INV-2026-000034,V0021,Vertex Supplies Corporation,2026-01-01,2026-02-15,USD,13824.7,1382.47,15207.17,CAPEX-14278,FIN,Office equipment,REVIEW
INV-2026-000279,V0075,Vertex Packaging Limited,2026-01-01,2026-01-16,GBP,19446.35,3500.34,22946.69,CAPEX-18300,MKT,Data services,PAID
INV-2026-000285,V0013,Delta Solutions Corporation,2026-01-01,2026-01-31,USD,1669.42,250.41,1919.84,PR-78084,PROC,Packaging materials,REVIEW
INV-2026-000477,V0070,Royal Supplies Incorporated,2026-01-01,2026-02-15,EUR,8483.2,0.0,8483.2,OPEX-40079,MKT,Packaging materials,PAID
INV-2026-000557,V0051,Nova Systems Corporation,2026-01-01,2026-01-16,USD,11963.76,1794.56,13758.33,PR-49562,IT,Office equipment,PAID
INV-2026-000887,V0063,Fusion Consulting Incorporated,2026-01-01,2026-01-16,EUR,7051.14,0.0,7051.14,OPEX-73068,LOG,Office equipment,PAID
INV-2026-001580,V0022,Crescent Supplies Limited,2026-01-01,2026-03-02,USD,212.66,21.27,233.93,CAPEX-13624,MKT,Security services,PAID
INV-2026-001695,V0036,Unity Packaging Corporation,2026-01-01,2026-01-31,USD,7702.65,1155.4,8858.04,PR-22744,IT,Network equipment,PAID
INV-2026-000098,V0016,Zenith Holdings Incorporated,2026-01-02,2026-02-16,GBP,8681.42,0.0,8681.42,OPEX-79806,PROC,Professional consulting,REVIEW
INV-2026-000223,V0007,Quantum Technologies Incorporated,2026-01-02,2026-02-16,USD,16869.79,0.0,16869.79,PO-29795,IT,Professional consulting,PAID
INV-2026-000386,V0087,Orbit Trading Limited,2026-01-02,2026-02-01,USD,13907.27,1112.58,15019.85,CAPEX-26899,IT,Maintenance services,REVIEW
INV-2026-000831,V0077,Pioneer Packaging Limited,2026-01-02,2026-02-01,USD,13164.71,1316.47,14481.19,CAPEX-84600,FIN,Professional consulting,PAID
INV-2026-000909,V0061,Silverline Services Limited,2026-01-02,2026-01-17,GBP,3569.9,535.48,4105.38,OPEX-61483,LOG,Software licensing,PAID
INV-2026-001072,V0025,Lanka Foods Limited,2026-01-02,2026-02-16,GBP,10742.38,859.39,11601.77,PR-96661,MKT,Data services,PAID
INV-2026-001082,V0056,Silverline Technologies Incorporated,2026-01-02,2026-02-01,LKR,1425708.38,0.0,1425708.38,PR-47342,IT,Freight and logistics,PAID
INV-2026-001178,V0051,Nova Systems Corporation,2026-01-02,2026-02-01,LKR,467274.78,37381.98,504656.77,CAPEX-96334,OPS,Office equipment,PAID
INV-2026-001456,V0009,Orbit Consulting Limited,2026-01-02,2026-01-17,GBP,13576.22,2036.43,15612.66,OPEX-60504,IT,Maintenance services,PAID
INV-2026-001686,V0063,Fusion Consulting Incorporated,2026-01-02,2026-02-01,GBP,1722.87,137.83,1860.7,PR-62059,FIN,Freight and logistics,REVIEW
INV-2026-001687,V0069,Keystone Technologies Incorporated,2026-01-02,2026-03-03,USD,5401.06,432.08,5833.14,OPEX-30953,MKT,Professional consulting,PAID
INV-2026-000254,V0014,Delta Foods Corporation,2026-01-03,2026-01-18,USD,4533.38,816.01,5349.39,PR-68429,OPS,Maintenance services,PAID
INV-2026-000286,V0002,Zenith Consulting Limited,2026-01-03,2026-02-02,LKR,263172.73,26317.27,289490.0,PR-72613,IT,Professional consulting,PAID
INV-2026-000300,V0018,Royal Networks Incorporated,2026-01-03,2026-02-02,USD,19065.96,2859.89,21925.86,CAPEX-31884,OPS,Freight and logistics,PAID
INV-2026-000667,V0087,Orbit Trading Limited,2026-01-03,2026-01-18,USD,8295.63,1244.34,9539.97,PO-99849,HR,Network equipment,REVIEW
